"Date","Adjusted_TSLA","Adjusted_SP500"
2017-12-26,21.1526660919189,2680.5
2017-12-27,20.7759990692139,2682.6201171875
2017-12-28,21.0240001678467,2687.5400390625
2017-12-29,20.7566661834717,2673.61010742188
2018-01-02,21.3686676025391,2695.81005859375
2018-01-03,21.1499996185303,2713.06005859375
2018-01-04,20.974666595459,2723.98999023438
2018-01-05,21.1053333282471,2743.14990234375
2018-01-08,22.4273338317871,2747.7099609375
2018-01-09,22.246000289917,2751.2900390625
2018-01-10,22.3199996948242,2748.22998046875
2018-01-11,22.5300006866455,2767.56005859375
2018-01-12,22.4146671295166,2786.23999023438
2018-01-16,22.6706676483154,2776.419921875
2018-01-17,23.1439990997314,2802.56005859375
2018-01-18,22.9713325500488,2798.03002929688
2018-01-19,23.3346672058105,2810.30004882812
2018-01-22,23.4373321533203,2832.96997070312
2018-01-23,23.5193328857422,2839.1298828125
2018-01-24,23.0593338012695,2837.5400390625
2018-01-25,22.5093326568604,2839.25
2018-01-26,22.8566665649414,2872.8701171875
2018-01-29,23.3020000457764,2853.53002929688
2018-01-30,23.054666519165,2822.42993164062
2018-01-31,23.6206665039062,2823.81005859375
2018-02-01,23.283332824707,2821.97998046875
2018-02-02,22.9166679382324,2762.1298828125
2018-02-05,22.208667755127,2648.93994140625
2018-02-06,22.2646675109863,2695.13989257812
2018-02-07,23,2681.65991210938
2018-02-08,21.0153331756592,2581
2018-02-09,20.6946678161621,2619.55004882812
2018-02-12,21.0486679077148,2656
2018-02-13,21.5773334503174,2662.93994140625
2018-02-14,21.4873332977295,2698.6298828125
2018-02-15,22.271333694458,2731.19995117188
2018-02-16,22.3659992218018,2732.21997070312
2018-02-20,22.318000793457,2716.26000976562
2018-02-21,22.2199993133545,2701.330078125
2018-02-22,23.0779991149902,2703.9599609375
2018-02-23,23.4699993133545,2747.30004882812
2018-02-26,23.8279991149902,2779.60009765625
2018-02-27,23.3993320465088,2744.28002929688
2018-02-28,22.8706665039062,2713.830078125
2018-03-01,22.0620002746582,2677.669921875
2018-03-02,22.3413333892822,2691.25
2018-03-05,22.2233333587646,2720.93994140625
2018-03-06,21.8799991607666,2728.1201171875
2018-03-07,22.1533336639404,2726.80004882812
2018-03-08,21.9400005340576,2738.96997070312
2018-03-09,21.8113327026367,2786.57006835938
2018-03-12,23.0340003967285,2783.02001953125
2018-03-13,22.7893333435059,2765.31005859375
2018-03-14,21.775333404541,2749.47998046875
2018-03-15,21.7066669464111,2747.330078125
2018-03-16,21.4233322143555,2752.01000976562
2018-03-19,20.9039993286133,2712.919921875
2018-03-20,20.703332901001,2716.93994140625
2018-03-21,21.1019992828369,2711.92993164062
2018-03-22,20.6066665649414,2643.68994140625
2018-03-23,20.1026668548584,2588.26000976562
2018-03-26,20.2786674499512,2658.55004882812
2018-03-27,18.6119995117188,2612.6201171875
2018-03-28,17.1853332519531,2605
2018-03-29,17.742000579834,2640.8701171875
2018-04-02,16.8320007324219,2581.8798828125
2018-04-03,17.8353328704834,2614.44995117188
2018-04-04,19.1293334960938,2644.68994140625
2018-04-05,20.3813323974609,2662.84008789062
2018-04-06,19.953332901001,2604.46997070312
2018-04-09,19.3106670379639,2613.15991210938
2018-04-10,20.3133335113525,2656.8701171875
2018-04-11,20.0620002746582,2642.18994140625
2018-04-12,19.6053333282471,2663.98999023438
2018-04-13,20.0226669311523,2656.30004882812
2018-04-16,19.4139995574951,2677.84008789062
2018-04-17,19.1793327331543,2706.38989257812
2018-04-18,19.5566673278809,2708.63989257812
2018-04-19,20.0053329467773,2693.1298828125
2018-04-20,19.3493328094482,2670.13989257812
2018-04-23,18.8913326263428,2670.2900390625
2018-04-24,18.8973331451416,2634.56005859375
2018-04-25,18.71266746521,2639.39990234375
2018-04-26,19.0319995880127,2666.93994140625
2018-04-27,19.6053333282471,2669.90991210938
2018-04-30,19.5933322906494,2648.05004882812
2018-05-01,19.9946670532227,2654.80004882812
2018-05-02,20.0766677856445,2635.669921875
2018-05-03,18.9633331298828,2629.72998046875
2018-05-04,19.6060009002686,2663.419921875
2018-05-07,20.1846675872803,2672.6298828125
2018-05-08,20.1313323974609,2671.919921875
2018-05-09,20.4566669464111,2697.7900390625
2018-05-10,20.3346672058105,2723.07006835938
2018-05-11,20.0706672668457,2727.71997070312
2018-05-14,19.4646663665771,2730.1298828125
2018-05-15,18.945333480835,2711.44995117188
2018-05-16,19.0986671447754,2722.4599609375
2018-05-17,18.9693336486816,2720.1298828125
2018-05-18,18.4546661376953,2712.96997070312
2018-05-21,18.9659996032715,2733.01000976562
2018-05-22,18.3339996337891,2724.43994140625
2018-05-23,18.6046676635742,2733.2900390625
2018-05-24,18.5233325958252,2727.76000976562
2018-05-25,18.5900001525879,2721.330078125
